date,cluster,cluster_description,daily_return
2001-06-13 00:00:00+05:30,2,Sideways/Low Volatility,0.0016413077230181
2001-06-14 00:00:00+05:30,2,Sideways/Low Volatility,-0.0143932683790964
2001-06-15 00:00:00+05:30,2,Sideways/Low Volatility,-0.0224668613794652
2001-06-18 00:00:00+05:30,2,Sideways/Low Volatility,-0.0086876580096529
2001-06-19 00:00:00+05:30,2,Sideways/Low Volatility,0.0170175275897246
2001-06-20 00:00:00+05:30,2,Sideways/Low Volatility,0.0008571558838279
2001-06-21 00:00:00+05:30,2,Sideways/Low Volatility,-0.0021774979728312
2001-06-22 00:00:00+05:30,2,Sideways/Low Volatility,-0.0068937180423666
2001-06-25 00:00:00+05:30,2,Sideways/Low Volatility,-0.0189858870040914
2001-06-26 00:00:00+05:30,2,Sideways/Low Volatility,0.0277319587628865
2001-06-27 00:00:00+05:30,2,Sideways/Low Volatility,-0.0004559589272198
2001-06-28 00:00:00+05:30,2,Sideways/Low Volatility,-0.0019067777281062
2001-06-29 00:00:00+05:30,0,Uptrend/Profitable,0.0127056672760512
2001-07-02 00:00:00+05:30,2,Sideways/Low Volatility,-0.006453651051539
2001-07-03 00:00:00+05:30,2,Sideways/Low Volatility,-0.0281171928230752
2001-07-04 00:00:00+05:30,2,Sideways/Low Volatility,-0.0017292951953635
2001-07-05 00:00:00+05:30,2,Sideways/Low Volatility,0.0016854721662997
2001-07-06 00:00:00+05:30,2,Sideways/Low Volatility,-0.0043561579808367
2001-07-09 00:00:00+05:30,2,Sideways/Low Volatility,-0.0052483827657755
2001-07-10 00:00:00+05:30,2,Sideways/Low Volatility,0.011845210004719
2001-07-11 00:00:00+05:30,2,Sideways/Low Volatility,0.0108203908399795
2001-07-12 00:00:00+05:30,0,Uptrend/Profitable,0.0201633368707607
2001-07-13 00:00:00+05:30,0,Uptrend/Profitable,0.0044776119402984
2001-07-16 00:00:00+05:30,0,Uptrend/Profitable,-0.0044126255121798
2001-07-17 00:00:00+05:30,0,Uptrend/Profitable,-0.0022251368097327
2001-07-18 00:00:00+05:30,0,Uptrend/Profitable,-0.0100989039878884
2001-07-19 00:00:00+05:30,0,Uptrend/Profitable,-0.00554054672833
2001-07-20 00:00:00+05:30,2,Sideways/Low Volatility,-0.0075513399023852
2001-07-23 00:00:00+05:30,2,Sideways/Low Volatility,-0.0065417091955088
