"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2025-10-24 12:51:51","SELL","BANKNIFTY25DEC59100CE","NRML","35/35",725.45,"COMPLETE",""
"2025-10-24 12:51:29","BUY","BANKNIFTY25NOV59000CE","NRML","35/35",367,"COMPLETE",""
"2025-10-24 12:50:45","SELL","BANKNIFTY25DEC60000CE","NRML","35/35",460.05,"COMPLETE",""
"2025-10-24 12:50:30","SELL","BANKNIFTY25DEC60000CE","NRML","35/35",460.2,"COMPLETE",""
"2025-10-24 12:50:12","BUY","BANKNIFTY25DEC61000CE","NRML","70/70",255,"COMPLETE",""
"2025-10-24 11:37:05","SELL","BANKNIFTY25NOV59000CE","NRML","35/35",393.25,"COMPLETE",""
"2025-10-24 11:33:52","SELL","NIFTY25NOV26000CE","NRML","0/75",0,"REJECTED",""
"2025-10-24 11:33:29","SELL","NIFTY25NOV26050PE","NRML","75/75",369.2,"COMPLETE",""
"2025-10-24 11:33:18","BUY","NIFTY25NOV25850PE","NRML","75/75",282.3,"COMPLETE",""
"2025-10-24 11:29:44","SELL","NIFTY25DEC25500CE","NRML","75/75",901.05,"COMPLETE",""
"2025-10-24 11:29:35","BUY","NIFTY25DEC27000CE","NRML","75/75",172.4,"COMPLETE",""
"2025-10-24 10:25:25","SELL","NIFTY25NOV26500CE","NRML","75/75",145.15,"COMPLETE",""
"2025-10-24 10:25:07","SELL","NIFTY25NOV26500CE","NRML","75/75",144.3,"COMPLETE",""
"2025-10-24 10:24:16","SELL","BANKNIFTY25NOV58000PE","NRML","175/175",684.63,"COMPLETE",""
"2025-10-24 10:24:04","BUY","BANKNIFTY25NOV57800PE","NRML","175/175",610,"COMPLETE",""
"2025-10-24 10:22:56","BUY","BANKNIFTY25NOV57800CE","NRML","35/35",960.65,"COMPLETE",""
"2025-10-24 10:22:49","BUY","BANKNIFTY25NOV57000CE","NRML","0/35",0,"REJECTED",""
"2025-10-24 09:42:20","SELL","NIFTY25OCT25850CE","NRML","75/75",182.55,"COMPLETE",""
"2025-10-24 09:42:09","BUY","NIFTY25NOV25850CE","NRML","75/75",499.85,"COMPLETE",""
"2025-10-24 09:24:59","SELL","BANKNIFTY25DEC59000CE","NRML","35/35",937.05,"COMPLETE",""
"2025-10-24 09:21:52","BUY","NIFTY25OCT25850CE","NRML","75/75",158.5,"COMPLETE",""
"2025-10-24 09:20:22","BUY","BANKNIFTY25NOV58000CE","NRML","35/35",953.55,"COMPLETE",""
