Time;Type;Instrument;Product;Qty.;Avg.;price;Status
17/10/2025;12:09:45;BUY;BANKNIFTY25NOV57800CE;NRML;"105/105"",1077.97";COMPLETE;BANKNIFTY
17/10/2025;12:09:57;SELL;BANKNIFTY25NOV57500CE;NRML;"105/105"",1253.52";COMPLETE;BANKNIFTY
17/10/2025;12:10:05;BUY;BANKNIFTY25NOV57800CE;NRML;"70/70"",1065.45";COMPLETE;BANKNIFTY
17/10/2025;12:10:12;BUY;BANKNIFTY25NOV57500CE;NRML;"35/35"",1246.75";COMPLETE;BANKNIFTY
17/10/2025;12:10:28;SELL;BANKNIFTY25NOV57500PE;NRML;"0/35"",0";REJECTED;BANKNIFTY
17/10/2025;12:11:50;BUY;NIFTY25NOV26000CE;NRML;"225/225"",336.7";COMPLETE;NIFTY
17/10/2025;12:12:03;SELL;NIFTY25NOV25800CE;NRML;"225/225"",449.45";COMPLETE;NIFTY
17/10/2025;12:12:09;BUY;NIFTY25NOV26000CE;NRML;"75/75"",337.65";COMPLETE;NIFTY
17/10/2025;12:12:17;SELL;NIFTY25NOV25800CE;NRML;"75/75"",449.85";COMPLETE;NIFTY
17/10/2025;12:13:21;BUY;NIFTY25NOV25750PE;NRML;"75/75"",275.65";COMPLETE;NIFTY
17/10/2025;12:13:26;SELL;NIFTY25NOV25500PE;NRML;"75/75"",198.2";COMPLETE;NIFTY
17/10/2025;12:19:21;BUY;BANKNIFTY25DEC58500CE;NRML;"35/35"",1125";COMPLETE;BANKNIFTY
17/10/2025;12:20:23;SELL;BANKNIFTY25DEC56500CE;NRML;"35/35"",2380";COMPLETE;BANKNIFTY
17/10/2025;12:21:03;BUY;BANKNIFTY25DEC58500CE;NRML;"35/35"",1125";COMPLETE;BANKNIFTY
17/10/2025;12:21:43;SELL;BANKNIFTY25DEC56500CE;NRML;"35/35"",2380";COMPLETE;BANKNIFTY
17/10/2025;12:22:13;BUY;BANKNIFTY25DEC57000CE;NRML;"35/35"",2030";COMPLETE;BANKNIFTY
17/10/2025;12:23:33;SELL;BANKNIFTY25DEC59000CE;NRML;"35/35"",895";COMPLETE;BANKNIFTY
17/10/2025;12:25:11;BUY;NIFTY25OCTFUT;NRML;"0/75"",0";REJECTED;NIFTY
17/10/2025;12:26:37;BUY;BANKNIFTY25NOV55000CE;NRML;"35/35"",3265.75";COMPLETE;BANKNIFTY
17/10/2025;12:27:14;BUY;BANKNIFTY25NOV57500PE;NRML;"105/105"",606.38";COMPLETE;BANKNIFTY
17/10/2025;12:27:26;BUY;BANKNIFTY25OCTFUT;NRML;"35/35"",57867";COMPLETE;BANKNIFTY
17/10/2025;12:27:31;BUY;BANKNIFTY25OCTFUT;NRML;"35/35"",57869.4";COMPLETE;BANKNIFTY
17/10/2025;12:28:02;SELL;BANKNIFTY25DECFUT;NRML;"35/35"",58480";COMPLETE;BANKNIFTY
17/10/2025;12:28:11;SELL;BANKNIFTY25DECFUT;NRML;"35/35"",58480";COMPLETE;BANKNIFTY
17/10/2025;12:28:36;BUY;NIFTY25OCTFUT;NRML;"75/75"",25832";COMPLETE;NIFTY
17/10/2025;12:28:43;BUY;NIFTY25OCTFUT;NRML;"0/75"",0";REJECTED;NIFTY
17/10/2025;12:29:35;SELL;NIFTY25DECFUT;NRML;"75/75"",26108.3";COMPLETE;NIFTY
17/10/2025;12:29:45;BUY;NIFTY25OCTFUT;NRML;"75/75"",25832";COMPLETE;NIFTY
17/10/2025;12:30:57;SELL;NIFTY25DECFUT;NRML;"75/75"",26108";COMPLETE;NIFTY
17/10/2025;12:31:26;SELL;BANKNIFTY25NOV58000CE;NRML;"35/35"",963.5";COMPLETE;BANKNIFTY
17/10/2025;12:31:45;SELL;BANKNIFTY25NOV57800PE;NRML;"35/35"",718.5";COMPLETE;BANKNIFTY
17/10/2025;12:31:52;SELL;BANKNIFTY25NOV57800PE;NRML;"35/35"",718.1";COMPLETE;BANKNIFTY
17/10/2025;12:31:57;SELL;BANKNIFTY25NOV57800PE;NRML;"0/35"",0";REJECTED;BANKNIFTY
17/10/2025;12:32:55;BUY;BANKNIFTY25OCT57400PE;NRML;"35/35"",292.4";COMPLETE;BANKNIFTY
17/10/2025;12:33:02;SELL;BANKNIFTY25NOV57800PE;NRML;"35/35"",713";COMPLETE;BANKNIFTY
17/10/2025;12:33:10;SELL;BANKNIFTY25NOV57800PE;NRML;"0/35"",0";REJECTED;BANKNIFTY
17/10/2025;12:33:42;SELL;BANKNIFTY25OCT57400PE;NRML;"0/35"",0";REJECTED;BANKNIFTY
17/10/2025;12:35:38;SELL;BANKNIFTY25OCT57500CE;NRML;"35/35"",672.15";COMPLETE;BANKNIFTY
17/10/2025;12:36:04;SELL;NIFTY25OCT25900CE;NRML;"75/75"",138.35";COMPLETE;NIFTY
17/10/2025;12:37:03;SELL;NIFTY25OCT25900CE;NRML;"75/75"",136.3";COMPLETE;NIFTY
17/10/2025;12:42:03;BUY;BANKNIFTY25DEC58500CE;NRML;"35/35"",1120";COMPLETE;BANKNIFTY
17/10/2025;12:42:20;SELL;BANKNIFTY25DEC58000CE;NRML;"35/35"",1390";COMPLETE;BANKNIFTY
17/10/2025;12:43:40;BUY;BANKNIFTY25DEC58500CE;NRML;"35/35"",1120";COMPLETE;BANKNIFTY
17/10/2025;12:43:48;SELL;BANKNIFTY25DEC58000CE;NRML;"35/35"",1390";COMPLETE;BANKNIFTY
17/10/2025;12:44:23;BUY;BANKNIFTY25DEC58500CE;NRML;"0/35"",1125";CANCELLED;BANKNIFTY
17/10/2025;13:05:45;BUY;NIFTY25OCT25700CE;NRML;"75/75"",192";COMPLETE;NIFTY
17/10/2025;13:05:54;SELL;NIFTY25OCT25950CE;NRML;"150/150"",80.7";COMPLETE;NIFTY
17/10/2025;13:06:58;BUY;NIFTY25OCT25900CE;NRML;"225/225"",94.87";COMPLETE;NIFTY
17/10/2025;13:07:06;SELL;NIFTY25OCT25750CE;NRML;"150/150"",159.6";COMPLETE;NIFTY
17/10/2025;13:07:22;SELL;NIFTY25OCT25750PE;NRML;"75/75"",196.8";COMPLETE;NIFTY
17/10/2025;13:08:11;BUY;BANKNIFTY25OCT57500PE;NRML;"35/35"",455.35";COMPLETE;BANKNIFTY
17/10/2025;13:08:18;SELL;BANKNIFTY25OCT57800PE;NRML;"35/35"",609.15";COMPLETE;BANKNIFTY
17/10/2025;13:08:57;BUY;BANKNIFTY25OCT57600CE;NRML;"35/35"",431.6";COMPLETE;BANKNIFTY
17/10/2025;13:09:06;SELL;BANKNIFTY25OCT57800CE;NRML;"70/70"",344.53";COMPLETE;BANKNIFTY
17/10/2025;13:10:58;BUY;BANKNIFTY25OCT57600CE;NRML;"35/35"",463.5";COMPLETE;BANKNIFTY
17/10/2025;13:11:42;SELL;BANKNIFTY25OCT57800CE;NRML;"35/35"",366.65";COMPLETE;BANKNIFTY
17/10/2025;13:12:51;BUY;BANKNIFTY25DEC58500CE;NRML;"0/35"",1015";REJECTED;BANKNIFTY
