open,high,low,close,volume,trend_code,year,month,day,hour,dayofweek,Actual_Label,Predicted_Label
6673.05,6702.6,6643.8,6695.9,0,2,2014,3,28,0,4,Uptrend,Uptrend
6079.9,6128.75,6039.4,6121.6,0,1,2010,11,15,0,0,Sideways,Sideways
6002.95,6038.1,5966.75,5982.1,0,0,2010,10,20,0,2,Downtrend,Downtrend
10207.4,10242.95,10175.1,10230.85,0,2,2017,10,16,0,0,Uptrend,Uptrend
17584.85,17595.3,17442.35,17530.3,0,0,2022,4,12,0,1,Downtrend,Downtrend
1121.45,1131.95,1113.65,1130.05,0,1,2001,5,4,0,4,Sideways,Sideways
8086.35,8100.35,8031.75,8060.7,0,2,2015,11,3,0,1,Uptrend,Uptrend
4478.1,4537.95,4405.95,4517.8,0,2,2009,6,16,0,1,Uptrend,Uptrend
4995.0,5023.8,4991.39,5018.39,0,2,2012,1,19,0,3,Uptrend,Uptrend
9104.0,9133.55,9089.4,9108.0,0,2,2017,3,24,0,4,Uptrend,Uptrend
15437.75,15606.35,15374.0,15582.8,0,2,2021,5,31,0,0,Uptrend,Uptrend
5689.7,5710.8,5554.85,5565.25,0,0,2011,5,3,0,1,Downtrend,Downtrend
17695.7,17764.65,17587.65,17655.6,0,1,2022,9,6,0,1,Sideways,Sideways
1040.3,1040.75,1029.55,1031.25,0,0,2003,3,6,0,3,Downtrend,Downtrend
6015.8,6017.0,5986.55,6009.5,0,2,2013,1,3,0,3,Uptrend,Uptrend
2558.5,2592.5,2549.85,2574.8,0,2,2005,9,27,0,1,Uptrend,Uptrend
8201.15,8285.6,8188.3,8270.45,0,2,2016,6,23,0,3,Uptrend,Uptrend
18008.05,18047.4,17795.55,17859.45,0,0,2023,1,6,0,4,Downtrend,Downtrend
4524.39,4550.0,4392.0,4539.35,0,2,2008,6,12,0,3,Uptrend,Uptrend
1110.9,1122.65,1109.65,1112.3,0,1,2001,12,7,0,4,Sideways,Sideways
12039.8,12039.8,11830.25,11843.75,0,0,2019,6,6,0,3,Downtrend,Downtrend
12102.35,12103.55,11990.75,12031.5,0,0,2020,2,10,0,0,Downtrend,Downtrend
1920.5,1944.45,1920.15,1942.6,0,2,2005,5,4,0,2,Uptrend,Uptrend
9908.15,9989.35,9906.6,9979.7,0,2,2017,10,6,0,4,Uptrend,Uptrend
13970.0,14024.85,13936.45,13981.75,0,2,2020,12,31,0,3,Uptrend,Uptrend
8623.9,8624.1,8559.0,8603.45,0,0,2015,7,20,0,0,Downtrend,Downtrend
3939.1,3958.9,3856.7,3942.0,0,1,2007,2,26,0,0,Sideways,Sideways
24489.6,24503.35,24179.05,24199.35,0,0,2024,11,7,0,3,Downtrend,Downtrend
861.35,877.0,859.2,873.7,0,1,2001,9,26,0,2,Sideways,Sideways
1777.85,1782.1,1750.3,1781.05,0,1,2004,10,26,0,1,Sideways,Sideways
8005.1,8128.9,8005.1,8119.3,0,2,2015,10,5,0,0,Uptrend,Uptrend
4861.95,4898.85,4834.2,4866.0,0,2,2012,1,13,0,4,Uptrend,Uptrend
8166.5,8200.0,8150.8,8178.5,0,2,2016,5,30,0,0,Uptrend,Uptrend
11063.9,11076.3,10985.3,11017.0,0,0,2019,8,20,0,1,Downtrend,Downtrend
8053.7,8091.8,7961.65,8001.95,0,2,2015,8,28,0,4,Uptrend,Uptrend
1319.25,1333.55,1300.25,1302.9,0,1,2003,9,22,0,0,Sideways,Sideways
19581.2,19726.25,19551.05,19638.3,0,1,2023,9,29,0,4,Sideways,Sideways
10318.75,10393.65,10277.6,10311.2,0,2,2020,6,22,0,0,Uptrend,Uptrend
1091.34,1099.0,1090.0,1092.84,0,1,2002,1,22,0,1,Sideways,Sideways
1066.05,1082.59,1065.65,1077.7,0,2,2001,12,4,0,1,Uptrend,Uptrend
23637.65,23822.8,23562.8,23742.9,0,2,2025,1,1,0,2,Uptrend,Uptrend
11502.1,11565.3,11499.65,11551.75,0,2,2018,8,20,0,0,Uptrend,Uptrend
1306.0,1333.5,1306.0,1329.1,0,2,2001,1,19,0,4,Uptrend,Uptrend
7896.95,7905.95,7856.95,7879.4,0,2,2014,10,20,0,0,Uptrend,Uptrend
17736.35,17777.55,17707.4,17730.75,0,2,2022,10,24,0,0,Uptrend,Uptrend
5688.45,5718.9,5665.75,5683.7,0,0,2012,11,12,0,0,Downtrend,Downtrend
5989.4,6099.9,5975.55,6083.15,0,2,2013,5,27,0,0,Uptrend,Uptrend
1537.05,1547.65,1516.15,1537.5,0,2,2004,7,2,0,4,Uptrend,Uptrend
8102.1,8102.45,7916.4,7929.1,0,0,2016,11,21,0,0,Downtrend,Downtrend
6186.85,6204.35,6106.95,6122.9,0,0,2013,11,20,0,2,Downtrend,Downtrend
3998.5,4011.0,3933.35,3997.65,0,0,2007,4,19,0,3,Downtrend,Downtrend
6135.95,6144.95,6057.95,6090.9,0,0,2010,10,12,0,1,Downtrend,Downtrend
14837.7,14849.85,14459.5,14637.8,0,0,2021,4,5,0,0,Downtrend,Downtrend
7906.15,7936.6,7874.35,7927.75,0,2,2014,10,21,0,1,Uptrend,Uptrend
8288.7,8410.6,8288.7,8395.4,0,2,2015,1,2,0,4,Uptrend,Uptrend
5882.85,5912.9,5864.35,5884.7,0,2,2011,4,21,0,3,Uptrend,Uptrend
3151.05,3177.4,3130.3,3138.65,0,2,2006,7,4,0,1,Uptrend,Uptrend
1070.3,1071.0,1063.0,1067.15,0,0,2001,11,29,0,3,Downtrend,Downtrend
6105.95,6187.75,6105.95,6135.85,0,2,2010,10,11,0,0,Uptrend,Uptrend
8131.55,8197.35,8128.7,8142.15,0,2,2016,11,29,0,1,Uptrend,Uptrend
8118.65,8151.2,8065.45,8102.1,0,0,2015,1,7,0,2,Downtrend,Downtrend
7718.05,7740.15,7666.1,7713.05,0,0,2016,4,1,0,4,Downtrend,Downtrend
2369.05,2387.0,2355.0,2384.6,0,2,2005,8,31,0,2,Uptrend,Uptrend
5385.1,5422.6,5367.45,5394.85,0,0,2011,5,24,0,1,Downtrend,Downtrend
2314.85,2373.4,2314.19,2370.9,0,2,2005,10,31,0,0,Uptrend,Uptrend
15819.6,15893.55,15779.7,15879.65,0,2,2021,7,7,0,2,Uptrend,Uptrend
10630.7,10633.15,10550.9,10593.15,0,0,2018,6,5,0,1,Downtrend,Downtrend
5882.65,5913.8,5795.9,5907.65,0,2,2010,12,13,0,0,Uptrend,Uptrend
17947.95,17988.75,17757.95,17829.2,0,0,2021,11,3,0,2,Downtrend,Downtrend
2084.6,2096.35,2080.55,2093.25,0,1,2005,3,2,0,2,Sideways,Sideways
25139.35,25233.5,25085.5,25219.9,0,2,2025,7,23,0,2,Uptrend,Uptrend
6447.25,6518.45,6432.7,6504.2,0,1,2014,3,14,0,4,Sideways,Sideways
19525.05,19545.15,19432.85,19528.8,0,2,2023,9,4,0,0,Uptrend,Uptrend
10160.95,10171.05,10134.2,10141.15,0,2,2017,9,20,0,2,Uptrend,Uptrend
4355.75,4428.1,4355.75,4401.55,0,2,2007,8,3,0,4,Uptrend,Uptrend
1110.0,1119.4,1098.7,1102.8,0,2,2002,1,9,0,2,Uptrend,Uptrend
8138.9,8174.3,8084.9,8159.3,0,2,2014,12,18,0,3,Uptrend,Uptrend
1522.05,1524.05,1482.0,1485.3,0,0,2003,10,27,0,0,Downtrend,Downtrend
1355.35,1371.1,1355.35,1365.95,0,2,2001,1,24,0,2,Uptrend,Uptrend
1067.3,1082.4,1046.15,1050.2,0,1,2001,11,20,0,1,Sideways,Sideways
25268.95,25565.3,25259.9,25549.0,0,2,2025,6,26,0,3,Uptrend,Uptrend
9323.45,9324.0,9091.35,9266.75,0,2,2020,4,17,0,4,Uptrend,Uptrend
1146.09,1146.15,1120.34,1136.65,0,0,2001,4,4,0,2,Downtrend,Downtrend
2055.19,2077.69,2055.19,2070.0,0,2,2005,2,9,0,2,Uptrend,Uptrend
18619.15,18641.2,18581.25,18598.65,0,2,2023,5,29,0,0,Uptrend,Uptrend
1075.2,1083.7,1072.95,1078.95,0,2,2001,8,16,0,3,Uptrend,Uptrend
3469.5,3471.95,3351.5,3362.35,0,0,2009,4,28,0,1,Downtrend,Downtrend
17598.4,17643.85,17476.45,17539.45,0,1,2022,9,2,0,4,Sideways,Sideways
6029.15,6071.55,5979.65,5991.3,0,0,2010,9,29,0,2,Downtrend,Downtrend
4796.14,4905.25,4789.89,4898.39,0,2,2009,11,9,0,0,Uptrend,Uptrend
1601.3,1626.4,1601.3,1618.7,0,2,2003,11,4,0,1,Uptrend,Uptrend
2885.4,3062.05,2885.4,3043.85,0,2,2008,11,3,0,0,Uptrend,Uptrend
