open,high,low,close,volume,trend_code,year,month,day,hour,dayofweek,Actual_Label,Predicted_Label
8774.54,8791.25,8715.0,8769.05,0,2,2017,2,8,0,2,Uptrend,Uptrend
19612.15,19731.85,19562.95,19711.45,0,2,2023,7,17,0,0,Uptrend,Uptrend
25901.2,25934.35,25825.8,25868.6,0,2,2025,10,21,0,1,Uptrend,Uptrend
13012.05,13035.3,12914.3,12968.95,0,1,2020,11,27,0,4,Sideways,Sideways
22762.75,22825.5,22685.45,22704.7,0,0,2024,5,29,0,2,Downtrend,Downtrend
15291.75,15293.85,15163.4,15208.45,0,2,2021,5,25,0,1,Uptrend,Uptrend
1097.59,1103.25,1077.4,1080.25,0,0,2003,1,10,0,4,Downtrend,Downtrend
9657.15,9673.5,9637.45,9653.5,0,2,2017,6,2,0,4,Uptrend,Uptrend
1010.7,1022.75,1010.1,1021.05,0,2,2003,6,4,0,2,Uptrend,Uptrend
9339.65,9414.75,9336.0,9407.3,0,2,2017,5,10,0,2,Uptrend,Uptrend
1193.25,1202.05,1193.25,1198.45,0,2,2001,5,29,0,1,Uptrend,Uptrend
3050.25,3152.3,2985.0,3142.1,0,2,2008,11,4,0,1,Uptrend,Uptrend
17613.7,17707.59,17485.84,17617.15,0,0,2022,1,21,0,4,Downtrend,Downtrend
1094.15,1104.8,1085.3,1090.3,0,0,2002,1,16,0,2,Downtrend,Downtrend
5003.64,5034.7,4921.05,5027.39,0,1,2009,10,6,0,1,Sideways,Sideways
